"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"22" "YFL030W" 1.1140834126251e-14 3.31287894790608e-12 4.92390359573989 36.7126837802512
"23" "YMR191W" 1.29122085282175e-14 3.6726812257217e-12 2.77687286056858 36.3008476852039
"24" "YAL062W" 1.365470545171e-14 3.72204512771194e-12 3.90894380723452 36.1459852731969
"25" "YKL148C" 1.6570557918691e-14 4.2283463574529e-12 2.7786467616159 35.61489718521
"26" "YPR006C" 1.74511390478796e-14 4.2283463574529e-12 4.09955856066999 35.4741211569596
"27" "YML042W" 1.7290921962363e-14 4.2283463574529e-12 5.10621819651056 35.4991580934848
"28" "YHL024W" 1.85212829202153e-14 4.3273654594303e-12 3.2913952224144 35.3129800905124
"29" "YHR096C" 2.1481331586496e-14 4.84589211168472e-12 6.68407209405147 34.9146634210093
"30" "YEL011W" 2.68320742605778e-14 5.85118099375666e-12 3.73647413825146 34.3253828169287
"31" "YDL223C" 3.01235829998753e-14 6.35704774145757e-12 3.65414373701071 34.0226740257024
"32" "YPR001W" 3.31927033218901e-14 6.78583328536892e-12 4.50824773013871 33.7708720729632
"33" "YOR348C" 3.46131356711739e-14 6.86179192608544e-12 5.10171797993917 33.6626849216462
"34" "YHL032C" 4.31751791217511e-14 8.30486333635318e-12 2.82049870126116 33.0976024000198
"35" "YPR026W" 4.56007241419439e-14 8.30486333635318e-12 2.91912722585715 32.9593034408362
"36" "YHR179W" 4.57008682526314e-14 8.30486333635318e-12 -2.20252908053681 -32.9537645999892
"37" "YBR068C" 4.97957888526168e-14 8.80443380199511e-12 3.33922641017311 32.737808782366
"38" "YGL156W" 5.42626112973604e-14 9.34173692387716e-12 3.95301884119938 32.5230072113762
"39" "YPR002W" 5.59284711647279e-14 9.38164252204231e-12 2.57744831509323 32.4477262680622
"40" "YBL064C" 6.06694706719843e-14 9.92249192840304e-12 2.59808407647302 32.2459989466352
"41" "YBR214W" 6.62099501845058e-14 1.05645242465131e-11 2.82418092123934 32.030703126067
"42" "YIL101C" 6.94886449223627e-14 1.06978476237358e-11 3.92274708033873 31.9122335231237
"43" "YIL107C" 7.07095202904253e-14 1.06978476237358e-11 2.67178455042547 31.8696474065337
"44" "YBR117C" 7.49864543128927e-14 1.09013640914432e-11 5.23947804653773 31.726461313965
"45" "YBR149W" 9.60730136467885e-14 1.33725458569636e-11 2.13233201646776 31.129164902004
"46" "YIL160C" 7.19512833146402e-14 1.06978476237358e-11 6.08556444394663 31.8271358355978
"47" "YPR184W" 1.08422690747376e-13 1.4475535568762e-11 2.64844807645186 30.8416744403148
"48" "YOL126C" 1.04748490245824e-13 1.42763463164205e-11 5.12568401684985 30.9233694184135
"49" "YDL085W" 7.87380234170247e-14 1.11979162868299e-11 5.61446318322012 31.6079118395919
"50" "YKL188C" 1.23668768233953e-13 1.55991274926519e-11 3.46242019679482 30.5318265247476
"51" "YBR026C" 1.24449435578762e-13 1.55991274926519e-11 4.37227696558206 30.5170832895251
"52" "YPL036W" 1.30440384926307e-13 1.55991274926519e-11 4.40561085943078 30.4071467570375
"53" "YOR120W" 1.35881510942404e-13 1.55991274926519e-11 3.64164650812353 30.3119033863659
"54" "YNL274C" 1.3586900359641e-13 1.55991274926519e-11 3.11368090618993 30.3121175892238
"55" "YHR092C" 1.25197137300804e-13 1.55991274926519e-11 -3.6696142990231 -30.5030555184748
"56" "YBR230C" 1.5142418936215e-13 1.65102841134531e-11 3.50545380822848 30.0609006508139
"57" "YPL004C" 1.35006169140219e-13 1.55991274926519e-11 2.1747303684181 30.3269460171423
"58" "YGL147C" 1.37179737776901e-13 1.55991274926519e-11 -2.04687696929035 -30.2897842355754
"59" "YBL015W" 1.406830513706e-13 1.55991274926519e-11 2.27527349855716 30.2311997267199
"60" "YBR046C" 1.56846891687846e-13 1.68211863183916e-11 3.75059292538427 29.979791274395
"61" "YDR216W" 1.66043229338495e-13 1.70376304632507e-11 3.52551650494811 29.8488954366413
"62" "YGR067C" 1.40443401924343e-13 1.55991274926519e-11 5.0785047117187 30.2351570756138
"63" "YPL092W" 1.68174568322943e-13 1.70376304632507e-11 2.62441448270933 29.819671045087
"64" "YMR110C" 1.61087226894785e-13 1.69973006184788e-11 2.35693503466028 29.9184393243814
"65" "YIL162W" 1.69282479381121e-13 1.70376304632507e-11 2.48676168494351 29.8046364700526
"66" "YJR008W" 1.88069384488223e-13 1.8641665353363e-11 4.25523513558576 29.564670038205
"67" "YPL222W" 2.19748028097359e-13 2.08346608668539e-11 3.36844698292713 29.2131603500284
"68" "YOR374W" 2.08412233243001e-13 2.03497437294882e-11 6.31573577297951 29.3322955938021
"69" "YGR244C" 2.17179183399321e-13 2.08346608668539e-11 1.9313580292501 29.2395697515478
"70" "YDR262W" 2.61169652623784e-13 2.40643924995041e-11 2.41860811768346 28.8279733858902
"71" "YLL041C" 2.47350663035551e-13 2.31166862511225e-11 2.57468643304799 28.9486969590129
"72" "YDR148C" 2.64962495174841e-13 2.40747867143584e-11 1.8279512086137 28.7960374484457
"73" "YBR298C" 3.0607215431174e-13 2.66976537800987e-11 2.79161459405378 28.4784474165198
"74" "YIR016W" 3.26473521179344e-13 2.81024970467798e-11 3.70773390806851 28.3374641176404
"75" "YJR010W" 2.79605743930166e-13 2.50572709149472e-11 -1.78173703202049 -28.6771908047039
"76" "YLL019C" 3.02153864680651e-13 2.66976537800987e-11 2.12182563288679 28.5066793630703
"77" "YML128C" 3.76826581941866e-13 3.2015577909918e-11 5.04029632875576 28.0264988654741
"78" "YNL014W" 5.07074295690925e-13 4.19908866127852e-11 4.62942714260639 27.3933569715202
