"" "probe.id" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"1774778_at" "1774778_at" "YOR100C" 2.85963658230032e-10 5.89624690025999e-08 3.5143300928484 39.116424003217
"1773961_at" "1773961_at" "YGR256W" 3.08485334581417e-10 6.24282914130689e-08 5.12716206774849 38.7381900691349
"1780070_at" "1780070_at" "YBR046C" 3.39914136281582e-10 6.75378487506386e-08 3.45268021500058 38.2594191450489
"1775873_at" "1775873_at" "YNL009W" 3.68790063540669e-10 7.09631789399172e-08 4.19397341185924 37.8615960202362
"1777122_at" "1777122_at" "YOL014W" 3.70141032171969e-10 7.09631789399172e-08 -3.60302446878714 -37.8438512691356
"1772850_at" "1772850_at" "YJR008W" 3.91717623373543e-10 7.38050032452771e-08 3.99926407412209 37.5699519273147
"1775702_at" "1775702_at" "YMR018W" 4.03834755582322e-10 7.4270929832867e-08 2.48909772544152 37.4234886119988
"1780013_at" "1780013_at" "YLR284C" 4.07783289711935e-10 7.4270929832867e-08 3.00319980359694 37.3768287275714
"1773493_at" "1773493_at" "YBR230C" 4.22015578406816e-10 7.51299364374734e-08 3.21442131314035 37.2127746404985
"1780085_at" "1780085_at" "YER015W" 4.26249639378052e-10 7.51299364374734e-08 4.85720157413437 37.1651698600101
"1772549_at" "1772549_at" "YAL062W" 4.48362139495208e-10 7.69827233901259e-08 4.41782683266543 36.9249171924942
"1769968_at" "1769968_at" "YPR184W" 4.50850503016843e-10 7.69827233901259e-08 2.54140878571563 36.8987197752892
"1775158_at" "1775158_at" "YDL241W" 4.86820999913092e-10 8.1845844416158e-08 -3.57926336235531 -36.5372694950861
"1775874_at" "1775874_at" "YIL099W" 4.98948322755398e-10 8.26137465313786e-08 4.07790509469424 36.422148046806
"1772838_at" "1772838_at" "YOR120W" 5.1676271139002e-10 8.42863120905991e-08 3.63632630992897 36.2586376330211
"1771375_at" "1771375_at" "YBL049W" 5.34393267274757e-10 8.5880141540861e-08 5.08147982924918 36.1029519806929
"1770925_at" "1770925_at" "YHR049W" 5.54190368545006e-10 8.77709035863742e-08 -2.89369485703692 -35.9348897593866
"1771222_at" "1771222_at" "YGL096W" 5.9251208518518e-10 9.24996009557664e-08 2.24470597520505 35.6279911849221
"1777463_at" "1777463_at" "YMR191W" 6.18147814368205e-10 9.51425255692359e-08 2.25933651550047 35.4349199479987
"1778111_at" "1778111_at" "YDR384C" 6.66609264077488e-10 1.01176472747761e-07 3.89314292770897 35.0934395608198
"1779560_at" "1779560_at" "YHR160C" 6.98292615385353e-10 1.04222271748998e-07 4.73838816797891 34.8849746841043
"1775066_at" "1775066_at" "YOR173W" 7.05751108109979e-10 1.04222271748998e-07 4.7065329162153 34.8374490931434
"1771896_at" "1771896_at" "YPL092W" 7.37909505246269e-10 1.07518334311083e-07 2.28021797515066 34.6388236732546
"1774491_s_at" "1774491_s_at" "YBR299W" 7.97299483919879e-10 1.12656288051226e-07 4.50050304604953 34.2964200973474
"1777779_at" "1777779_at" "YPL200W" 8.00710513889398e-10 1.12656288051226e-07 4.4528981999559 34.2776342189692
"1777284_at" "1777284_at" "YBL029W" 8.04098688506189e-10 1.12656288051226e-07 -2.86513454103758 -34.2590632745236
"1774221_at" "1774221_at" "YNL125C" 8.35588052907991e-10 1.15586154964285e-07 2.18703085057823 34.0905734248798
"1769913_s_at" "1769913_s_at" "YDL244W" 8.83338789552378e-10 1.20664078652855e-07 2.41077810824487 33.8482673566834
"1772647_at" "1772647_at" "YDR018C" 9.42672512283811e-10 1.2602891505031e-07 4.72247337049425 33.566972860118
"1769333_at" "1769333_at" "YPL223C" 9.45678169301373e-10 1.2602891505031e-07 8.82581075490519 33.5532580862794
"1778884_at" "1778884_at" "YNL014W" 9.94852571425947e-10 1.30984926512563e-07 4.92301608184191 33.3356070976989
"1774983_at" "1774983_at" "YOL083W" 1.05513983842285e-09 1.37268668503392e-07 3.85452253424563 33.0847462160796
"1769466_at" "1769466_at" "YDL049C" 1.08321587081074e-09 1.3926332983788e-07 2.25019991431805 32.9733752477391
"1779506_at" "1779506_at" "YEL040W" 1.10640799255861e-09 1.40364146506045e-07 -3.11049123404508 -32.883803200206
"1772642_at" "1772642_at" "YLR312C" 1.12880662211276e-09 1.40364146506045e-07 5.4411980295898 32.7992816689156
"1777575_at" "1777575_at" "YJR115W" 1.13980275584966e-09 1.40364146506045e-07 3.20946672897287 32.7584764427889
"1770397_at" "1770397_at" "YDR262W" 1.14315602480216e-09 1.40364146506045e-07 2.25857407852619 32.7461210928087
"1773698_at" "1773698_at" "YIR016W" 1.19652693367404e-09 1.43106837109533e-07 3.49268994697721 32.5547962654114
"1777106_at" "1777106_at" "YNL274C" 1.20098930632066e-09 1.43106837109533e-07 2.80855600066058 32.5392368100916
"1770785_at" "1770785_at" "YPR193C" 1.20477937537308e-09 1.43106837109533e-07 2.40709568698109 32.5260726220544
"1777511_at" "1777511_at" "YOR215C" 1.23873306802197e-09 1.45557795347786e-07 2.22918320540226 32.4101816583008
"1779563_at" "1779563_at" "YDR070C" 1.31864240265578e-09 1.53299193364067e-07 7.09436938758795 32.1509968594864
"1772062_s_at" "1772062_s_at" "YFL061W" 1.37809502969255e-09 1.58524447205055e-07 3.13909735689941 31.9693893323911
"1773234_at" "1773234_at" "YER079W" 1.43311221324999e-09 1.63135940274957e-07 2.31747347435706 31.8090272807659
"1773594_at" "1773594_at" "YBR298C" 1.47968702051683e-09 1.6643832227501e-07 2.92787254517823 31.6786021607846
"1770506_at" "1770506_at" "YIL162W" 1.49258378321294e-09 1.6643832227501e-07 2.29508842283526 31.643303359415
"1770118_at" "1770118_at" "YOR178C" 1.55415750916356e-09 1.71553871314539e-07 5.91151490266908 31.4793827285664
"1769579_at" "1769579_at" "YGL121C" 1.66345224619708e-09 1.81782061464417e-07 5.68980090074879 31.2056875184851
"1771529_at" "1771529_at" "YDR380W" 1.68268877588413e-09 1.82063593493681e-07 4.84060822542098 31.1596157676545
"1770592_at" "1770592_at" "YJL089W" 1.73726488633536e-09 1.84624200252462e-07 4.77088430875607 31.0320679962976
"1777536_at" "1777536_at" "YGR067C" 1.74014390794323e-09 1.84624200252462e-07 3.89540122742216 31.0254653311757
"1774974_at" "1774974_at" "YML056C" 1.79674767960838e-09 1.8879671771885e-07 -2.50152265340608 -30.8980959125256
"1776471_at" "1776471_at" "YGL209W" 1.83689656568918e-09 1.91177196855727e-07 -2.34600993235642 -30.8104634331616
"1776643_at" "1776643_at" "YGR230W" 1.89637486576909e-09 1.9550551446344e-07 2.14298786082765 30.6845308042667
"1775851_at" "1775851_at" "YKL026C" 1.91433831425387e-09 1.95512982225854e-07 4.3521275243654 30.6473701393521
"1777053_at" "1777053_at" "YPR026W" 2.01815088002011e-09 2.0420697052648e-07 3.10093624000179 30.4400365471548
"1775996_at" "1775996_at" "YGL146C" 2.09229926276875e-09 2.09767397647127e-07 2.3885732945713 30.2991720876331
"1774011_at" "1774011_at" "YIL107C" 2.16017928135949e-09 2.13826826668925e-07 2.3075924231548 30.1750614529497
"1770947_at" "1770947_at" "YPR006C" 2.17192329431284e-09 2.13826826668925e-07 2.38836283432154 30.1540350915718
"1776188_at" "1776188_at" "YDL110C" 2.22192458897484e-09 2.16340928507593e-07 2.61604409627354 30.0659249918216
"1770623_at" "1770623_at" "YPL134C" 2.23705389104666e-09 2.16340928507593e-07 2.55670461032446 30.0397043341154
"1769959_at" "1769959_at" "YDL085W" 2.2783055782828e-09 2.18397573328723e-07 5.8835720900845 29.9692137400575
"1769554_at" "1769554_at" "YOR084W" 2.35091003525396e-09 2.23397781437002e-07 2.04616370346553 29.8485721942475
"1778227_at" "1778227_at" "YDL079C" 2.41648874896827e-09 2.27649905592459e-07 3.95310933823153 29.743158810185
"1775237_at" "1775237_at" "YHR068W" 2.43940576275534e-09 2.2784466816573e-07 -2.28882926251097 -29.707079086897
"1777667_s_at" "1777667_s_at" "YEL070W" 2.46323164845191e-09 2.28120300460021e-07 2.98328262991621 29.6699711025154
"1776064_at" "1776064_at" "YKL217W" 2.82189083042609e-09 2.59139689032742e-07 7.54757691141219 29.1557588279949
"1773415_at" "1773415_at" "YFR017C" 2.8965868532415e-09 2.63782509435193e-07 4.26878811868464 29.0579379947625
"1779158_at" "1779158_at" "YBL075C" 2.92426531274657e-09 2.64102242460285e-07 5.6804307329263 29.0224101363294
"1777444_at" "1777444_at" "YMR174C" 2.96834299361356e-09 2.65885674050894e-07 5.05844786712387 28.9666071483017
"1770378_at" "1770378_at" "YKL188C" 3.06004890176614e-09 2.71871661776426e-07 2.88317536257235 28.8534398612684
"1775401_at" "1775401_at" "YIL024C" 3.11532930564915e-09 2.7395657065006e-07 2.5324236996558 28.7870528670542
"1777048_at" "1777048_at" "YHR179W" 3.13365403836544e-09 2.7395657065006e-07 -2.15008525909098 -28.7653388432819
"1772934_at" "1772934_at" "YBR269C" 3.22523219191621e-09 2.7907031308096e-07 1.94047776687011 28.6589246461972
"1769731_at" "1769731_at" "YDR261C" 3.24322197669125e-09 2.7907031308096e-07 -1.85432438526583 -28.6384205273701
"1770576_at" "1770576_at" "YPL036W" 3.32456146238966e-09 2.83834434851517e-07 4.90658033004959 28.5472852755451
